Course,University,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine,University of Colombo,2.4546,2.501,2.5199,2.5115,2.5805,2.8375,2.522,2.4758,2.4648,2.5293,0.0,0.0,0.0,2.5182,0.0,2.5213,2.482,2.495,2.5206,0.0,2.469,2.477,2.5168,0.0,2.4741
Medicine,University of Peradeniya,2.3255,2.3317,2.3277,2.3456,2.3727,2.3809,2.325,2.3492,0.0,2.366,0.0,0.0,0.0,0.0,0.0,2.3768,2.3294,2.4914,2.3312,2.4235,2.4509,0.0,0.0,2.3502,2.3453
Medicine,University of Sri Jayewardenepura,2.2572,2.43,2.2924,0.0,2.266,0.0,2.2716,2.2627,0.0,2.2998,0.0,0.0,0.0,2.2646,0.0,2.4249,2.2747,2.2819,2.2594,0.0,2.2598,2.292,0.0,0.0,2.2627
Medicine,University of Kelaniya,2.2016,2.2054,2.2006,0.0,2.199,0.0,0.0,2.2097,2.2443,0.0,0.0,0.0,0.0,0.0,2.2042,0.0,2.2018,2.2997,2.2066,2.2061,0.0,0.0,0.0,2.1967,2.2027
Medicine,University of Jaffna,2.0858,1.9626,0.0,0.0,1.9955,1.9626,0.0,0.0,0.0,1.9573,2.0841,0.0,2.1642,2.0422,1.9576,1.9561,1.9583,1.9714,0.0,1.9929,2.0086,1.959,0.0,0.0,2.0379
Medicine,University of Ruhuna,2.1392,2.1446,2.1625,0.0,2.1403,0.0,2.14,2.145,2.176,0.0,0.0,2.1435,0.0,0.0,2.186,0.0,0.0,2.1608,2.1687,2.1591,0.0,2.1766,0.0,2.1956,2.1398
Medicine,University of Moratuwa,2.0676,1.9289,0.0,2.1129,2.0031,1.9691,2.0238,2.1371,0.0,2.0147,0.0,0.0,0.0,1.8969,1.9202,1.9118,1.8797,0.0,0.0,1.9954,0.0,0.0,1.9195,0.0,1.9329
Medicine,"Eastern University, Sri Lanka",0.0,0.0,0.0,0.0,0.0,1.4744,0.0,0.0,0.0,0.0,1.6855,1.9176,1.2427,0.0,0.0,1.8353,1.7481,0.0,0.0,1.6484,0.0,0.0,0.0,0.0,0.0
Medicine,Rajarata University of Sri Lanka,2.0957,2.0626,2.0672,2.1166,2.058,2.0357,2.1302,0.0,2.0457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067,2.0744,2.0431,0.0,0.0,2.0379,0.0,2.0407,2.0393
Medicine,Sabaragamuwa University of Sri Lanka,0.0,1.9173,0.0,1.8842,2.013,0.0,2.0427,0.0,1.8262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7345,0.0,0.0,1.687,1.7857,1.8267,1.9727,0.0,1.9595
Medicine,Wayamba University of Sri Lanka,0.0,1.9238,0.0,1.9473,1.9852,1.8684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7894,0.0,0.0,0.0,1.9267,2.0436,1.7481,1.843,1.9109,1.6753,2.1362,0.0
Dental Surgery,University of Peradeniya,2.0326,1.913,2.0355,1.8557,1.9612,1.4729,2.0186,2.0314,1.8047,1.9479,1.5918,1.8964,1.1326,1.7721,1.7716,1.7515,1.7298,1.7951,1.9979,1.6278,1.7827,1.773,1.6367,2.0342,1.9308
Veterinary Science,University of Peradeniya,1.8619,1.89,1.9417,1.8452,1.9482,1.437,1.959,1.9219,1.7601,1.9343,1.4078,1.6798,0.9074,1.6451,1.6728,1.6679,1.6903,1.6815,1.9475,1.5338,1.5868,1.7594,1.4732,1.9538,1.8881
Molecular Biology & Biochemistry,University of Colombo,1.9949,1.9077,1.9906,1.692,1.9561,1.4608,1.9446,1.9782,1.756,1.9358,1.1372,1.7886,0.5986,1.5638,1.7248,1.6271,1.5856,1.7424,1.9997,1.5341,1.4669,1.7327,1.3232,2.0005,1.9281
Agricultural Technology & Management,University of Peradeniya,1.5348,1.688,1.581,1.2934,1.7639,1.3991,1.7428,1.7588,1.6244,1.6369,1.0568,1.3195,0.3502,1.4562,1.1063,1.5406,1.3826,1.5286,1.64,1.5189,1.1585,1.6449,1.1822,1.6812,1.7632
Agriculture,University of Jaffna,0.9845,0.8692,1.065,1.0423,1.4291,0.8936,1.1144,0.0,0.0,0.9846,0.6444,1.0231,0.2643,0.5594,0.7839,0.8961,0.8817,0.8191,1.0562,0.6214,0.6443,0.9115,1.0619,1.113,0.9494
Agriculture,"Eastern University, Sri Lanka",1.0438,0.7995,0.0,0.8997,1.153,0.9256,1.0143,0.0,1.0648,0.9781,0.0,0.0,0.3086,0.0,1.0456,0.9385,0.9147,0.7748,1.0611,0.6238,0.5638,0.0,0.0,0.0,0.8146
Agriculture,Rajarata University of Sri Lanka,0.9613,0.9507,0.9825,1.0682,1.0569,1.0068,0.9876,0.966,0.996,0.0,0.0,0.0,0.0,0.0,0.0,1.1973,0.9318,0.9814,1.0683,0.9416,0.0,1.0051,0.0,1.0826,0.9773
Agriculture,Sabaragamuwa University of Sri Lanka,1.1013,1.1023,1.0828,0.0,1.1451,0.0,1.0818,1.0864,1.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1387,0.0,0.0,1.1267,0.0,1.0838,1.0929
Agriculture,Wayamba University of Sri Lanka,1.0427,1.0294,1.0277,0.0,1.0448,1.1197,1.0453,0.0,0.0,1.1475,0.0,0.0,0.0,0.0,0.0,1.2115,1.0292,1.1087,1.0631,0.0,0.0,1.0701,0.0,1.0903,0.0
Food Science & Nutrition,Wayamba University of Sri Lanka,1.4539,1.4708,1.5003,1.3013,1.5409,1.1645,1.5573,1.5796,1.4368,1.5806,0.6568,1.2408,0.5614,0.9971,1.2125,1.4483,1.4106,1.4168,1.5165,1.331,1.1775,1.5391,1.0491,1.5712,1.5624
Food Science & Technology,University of Peradeniya,1.8514,1.7948,0.0,0.0,1.9224,0.0,1.8222,1.843,0.0,1.8287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8327,0.0,0.0,0.0,0.0,1.8613,0.0
Food Science & Technology,University of Sri Jayewardenepura,1.7577,1.7478,1.784,0.0,0.0,0.0,1.872,1.7478,0.0,1.7843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7679,0.0,0.0,0.0,0.0,1.775,0.0
Food Science & Technology,Sabaragamuwa University of Sri Lanka,0.0,1.6597,0.0,1.1929,1.5605,1.1316,0.0,0.0,1.5511,1.679,0.8505,0.9186,0.3311,1.1434,0.9667,1.3594,1.3413,1.2992,1.54,1.4435,1.2242,1.4989,1.206,0.0,1.5384
Biological Science,University of Colombo,1.7667,1.7865,1.9307,0.0,1.8081,0.0,1.7747,1.7779,0.0,1.8644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8191,0.0,0.0,0.0,0.0,1.8176,1.7807
Biological Science,University of Peradeniya,1.6793,1.6501,1.6697,1.7218,1.645,0.0,1.6453,1.6774,0.0,1.6427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6385,0.0,0.0,1.64,0.0,1.6408,1.6422
Biological Science,University of Sri Jayewardenepura,1.5357,1.5403,1.5547,0.0,1.5588,0.0,1.5381,1.5559,1.5627,1.5489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6221,1.5621,0.0,0.0,1.5429,0.0,1.5485,1.6134
Biological Science,University of Kelaniya,1.4785,1.4828,1.4842,0.0,1.4871,0.0,1.4811,1.4899,1.6997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5065,1.5018,0.0,0.0,0.0,0.0,1.5108,1.4813
Biological Science,University of Jaffna,1.4413,1.1882,0.0,1.0936,1.3271,1.0854,0.0,1.4093,1.0864,1.2848,1.4073,0.0,0.0,0.0,0.0,1.0442,1.0859,1.0234,1.3129,1.0183,0.0,1.1582,0.0,0.0,1.2299
Biological Science,University of Ruhuna,1.4327,1.3687,1.4073,0.0,1.4059,0.0,1.4579,1.3814,1.4427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4059,1.3773,0.0,1.4373,1.4516,0.0,1.3834,1.3724
Biological Science,"Eastern University, Sri Lanka",0.0,0.0,1.2944,0.9831,0.0,0.9798,0.0,1.2688,1.1668,0.0,1.1515,0.9704,0.0,0.0,0.9589,0.8879,0.9741,0.9426,0.0,0.885,0.9581,1.1501,1.0103,1.3797,0.0
Biological Science,South Eastern University of Sri Lanka,0.0,1.3305,1.2689,1.1706,1.3178,0.7542,0.0,0.0,0.0,0.0,0.3957,0.5035,0.2442,0.2952,0.673,0.7919,0.9793,0.7641,0.0,0.677,0.679,1.2213,0.701,0.0,0.0
Applied Sciences (Bio.Sc),Rajarata University of Sri Lanka,1.1614,1.1357,1.1547,0.0,1.1755,1.2968,1.1851,1.1486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3551,1.1617,1.133,1.1146,0.0,0.0,1.1214,0.0,1.1636,1.1364
Applied Sciences (Bio.Sc),Sabaragamuwa University of Sri Lanka,1.1882,1.2577,1.2071,1.1984,1.1924,0.0,1.1939,1.2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2758,0.0,0.0,1.3292,0.0,1.264,1.1857
Applied Sciences (Bio.Sc),University of Jaffna - Vavuniya Campus,1.1628,1.041,0.0,0.8395,0.0,0.7365,0.0,0.0,1.0257,0.9084,0.3931,0.6906,0.0304,0.7837,0.5819,0.7648,0.9242,0.7607,1.0383,0.7355,0.4915,0.9962,0.6416,0.0,0.0
Engineering,University of Peradeniya,2.063,2.0711,2.0716,0.0,2.0714,2.1218,2.0675,2.0659,2.1511,2.0611,0.0,0.0,0.0,2.0636,2.0849,2.0635,2.1694,2.0934,2.063,2.0716,0.0,2.1256,2.132,2.0829,2.0717
Engineering,University of Sri Jayewardenepura,1.9771,1.9761,2.0321,0.0,1.9921,0.0,1.9815,0.0,2.0005,1.9941,0.0,0.0,0.0,0.0,0.0,0.0,1.9808,0.0,2.0065,2.0128,0.0,0.0,0.0,0.0,2.0118
Engineering,University of Jaffna,0.0,1.6726,1.7864,1.6401,1.6026,1.5478,0.0,0.0,0.0,2.0519,1.7732,1.5311,0.0,1.8302,1.5215,1.5035,1.7089,1.494,0.0,1.4994,1.6445,1.5771,1.584,1.7645,0.0
Engineering,University of Ruhuna,1.8596,1.8512,1.8564,1.9637,1.8537,1.9647,1.914,1.9269,1.8575,1.9845,1.8681,2.0327,1.8521,1.8672,1.866,1.8634,1.8773,1.8573,1.9017,1.9375,1.8558,1.8528,1.8997,1.9157,1.8618
Engineering,University of Moratuwa,2.1944,2.2013,2.2083,0.0,2.1971,2.3184,2.196,2.22,2.2393,2.2101,2.2537,2.3366,2.47,2.3648,2.2607,2.1967,2.275,2.2014,2.1954,2.2019,2.3358,2.1975,2.2686,2.235,2.2147
Engineering,South Eastern University of Sri Lanka,0.0,1.661,1.7927,0.0,1.7021,1.2693,0.0,0.0,1.7042,0.0,1.6903,1.4206,1.3693,0.0,1.3152,1.4666,1.7122,1.3596,0.0,1.4599,1.21,1.6021,1.4151,1.6939,0.0
Engineering (Em),University of Moratuwa,1.8628,1.8205,1.8195,1.5782,1.8798,1.3736,1.8291,1.8825,1.8058,1.873,1.6507,1.1788,1.3286,1.6568,1.3057,1.4457,1.7708,1.4505,1.8884,1.4573,1.1556,1.8398,1.5974,1.7837,1.7687
Engineering (Tm),University of Moratuwa,1.8473,1.8462,1.8504,1.4669,1.8463,1.4201,1.8425,1.8526,1.8067,1.8409,1.5276,1.0265,1.2822,1.653,1.3052,1.4638,1.6722,1.6021,1.8627,1.6133,1.1609,1.8084,1.4408,1.8234,1.8109
Quantity Surveying,University of Moratuwa,1.7992,1.7414,1.79,1.3832,1.6057,1.7358,1.7688,1.7731,1.7426,1.7832,1.5568,0.8651,1.2603,1.6443,1.2747,1.4851,1.639,1.4461,1.7938,1.4227,1.1119,1.6796,1.3987,1.7751,1.7561
Computer Science,University of Kelaniya,1.702,1.7036,1.7186,0.0,1.7109,0.0,1.7071,1.7111,1.7014,1.7027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7084,0.0,0.0,0.0,0.0,0.0,1.7485
Computer Science,University of Jaffna,1.3623,1.3671,0.0,0.0,1.365,0.0,0.0,0.0,0.0,1.6764,0.0,0.0,0.0,1.373,0.0,1.3452,1.3425,1.3585,0.0,1.3612,0.0,1.3469,0.0,1.4237,1.3413
Computer Science,University of Ruhuna,1.5317,1.5697,1.5782,0.0,1.6436,0.0,1.5654,1.6508,1.6578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5718,0.0,0.0,0.0,0.0,1.5317,1.5494
Computer Science,University of Colombo School of Computing,1.7533,1.7681,1.7697,0.0,1.7961,0.0,1.7554,1.7642,1.7689,1.7538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8414,1.7538,0.0,0.0,1.8352,0.0,1.7564,1.7524
Computer Science,Eastern University - Trincomalee Campus,1.3374,1.0503,0.0,1.0436,1.0563,0.8378,0.0,0.0,0.0,0.0,1.2204,0.5839,0.6294,0.0,0.9189,1.2223,1.1749,0.8517,0.0,1.1524,0.8634,1.1503,0.8772,0.0,1.1293
Physical Science,University of Colombo,1.5668,1.5712,1.5637,0.0,1.5764,0.0,1.5618,1.575,1.7313,1.5798,0.0,0.0,0.0,0.0,0.0,2.4241,1.6091,0.0,1.6233,0.0,0.0,2.5764,0.0,1.6214,1.6629
Physical Science,University of Peradeniya,1.468,1.4676,1.4688,0.0,1.4644,0.0,1.4804,1.4676,1.4659,1.4666,0.0,0.0,0.0,0.0,0.0,0.0,1.5118,0.0,1.475,0.0,0.0,1.4825,0.0,1.4675,1.4771
Physical Science,University of Sri Jayewardenepura,1.3618,1.3613,1.3633,0.0,1.3646,0.0,1.3607,1.3746,1.3705,1.3762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3762,1.3997,0.0,1.3779,0.0,1.4329,1.429
Physical Science,University of Kelaniya,1.2816,1.2832,1.2827,0.0,1.2844,0.0,1.2893,1.2908,1.3037,1.3207,0.0,0.0,0.0,0.0,0.0,1.311,1.3741,1.3066,1.2822,0.0,0.0,0.0,0.0,1.3069,1.2843
Physical Science,University of Jaffna,0.0,0.9152,0.0,0.7967,0.8491,0.7743,1.0991,0.0,1.0318,1.0796,0.981,0.0,0.0,0.7878,0.7829,0.838,0.8009,0.783,1.1288,0.8303,0.7939,0.99,0.7962,0.9,0.7774
Physical Science,University of Ruhuna,1.218,1.1812,1.2149,1.2149,1.201,0.0,1.1823,1.2237,1.2279,1.2604,0.0,0.0,0.0,0.0,0.0,0.0,1.2411,1.1941,1.1824,1.2245,0.0,1.1893,0.0,1.1819,1.1819
Physical Science,"Eastern University, Sri Lanka",0.0,0.9917,0.0,0.6535,0.8532,0.4816,0.0,0.0,1.0115,0.0,0.6452,0.0,0.0,0.5057,0.4753,0.5571,0.7017,0.7167,0.0,0.6686,0.5083,0.0,0.5639,0.9751,0.6756
Physical Science,South Eastern University of Sri Lanka,0.0,0.9388,0.0,0.8534,0.9594,0.505,0.0,0.0,0.0,1.1386,0.3748,0.3022,0.3776,0.0614,0.3773,0.5644,0.7023,0.7636,1.1269,0.7069,0.5248,1.0633,0.6689,0.0,0.7149
Surveying Science,Sabaragamuwa University of Sri Lanka,1.4067,1.3517,1.5486,1.1668,1.4178,1.0263,1.5119,1.5557,1.5558,1.5643,1.3785,0.87,0.9222,1.3913,1.3478,1.3405,1.4821,1.3442,1.5252,1.2476,1.093,1.4841,1.2799,1.5743,1.4872
Applied Sciences (Phy.Sc),Rajarata University of Sri Lanka,1.0226,1.0372,1.0481,1.0985,1.0685,1.1192,1.0479,1.0334,1.0344,1.0682,0.0,0.0,0.0,0.0,0.0,1.0296,1.0249,0.0,1.0285,0.0,0.0,1.0381,1.0762,1.0322,1.0312
Applied Sciences (Phy.Sc),Sabaragamuwa University of Sri Lanka,1.1354,1.1279,1.1269,0.0,1.1186,0.0,1.161,1.1428,1.123,0.0,0.0,0.0,0.0,0.0,0.0,1.2668,0.0,1.1246,1.1113,0.0,0.0,1.1481,0.0,1.1642,1.1237
Applied Sciences (Phy.Sc),Wayamba University of Sri Lanka,0.996,0.995,1.0515,1.0301,1.0024,0.0,1.0509,0.9991,1.0046,1.0036,0.0,0.0,0.0,0.0,0.0,0.0,1.1417,0.0,0.9997,0.0,0.0,0.0,0.0,1.0215,0.9953
Applied Sciences (Phy.Sc),University of Jaffna - Vavuniya Campus,0.9735,0.9309,0.0,0.7706,0.6397,0.0,0.0,0.0,0.0,0.9822,0.0,0.0,0.0,1.2816,0.6268,0.6568,0.7004,0.6627,0.9539,0.5992,0.0,0.8768,0.0,0.8907,0.0
Applied Sciences (Phy.Sc),Eastern University - Trincomalee Campus,0.9726,0.9796,0.0,0.7835,0.7342,0.3741,0.0,0.0,0.0,1.0029,0.2526,0.5298,0.3657,-0.0498,0.0,0.7273,0.6952,0.65,0.0,0.5971,0.4576,0.9574,0.5563,0.0,0.8694
Management,University of Colombo,1.7418,1.74,1.7425,1.7535,1.7481,1.7424,1.7407,1.7412,1.7591,1.7431,1.7412,0.0,1.7536,1.7756,1.7444,1.7628,1.7478,1.7573,1.7469,1.7406,1.7541,1.7517,1.7506,1.7413,1.7457
Management,University of Peradeniya,1.6036,1.6025,1.6263,1.6312,1.6024,1.6048,1.6062,0.0,1.6139,1.6037,1.6659,1.6994,1.6189,1.6227,1.6024,1.6079,1.6053,1.6134,1.6029,1.6183,0.0,1.6078,0.0,1.6379,1.6024
Management,University of Sri Jayewardenepura,1.8391,1.834,1.8364,1.8561,1.8396,1.8513,1.8359,1.8372,1.8531,1.839,1.9165,1.8838,1.8777,1.8759,1.8494,1.9336,1.8857,1.834,1.8409,1.8427,1.8427,1.8624,1.8365,1.8433,1.8378
Management,University of Kelaniya,1.6417,1.6442,1.6442,1.6408,1.6471,1.6471,1.6429,1.6447,1.6681,0.0,0.0,0.0,0.0,0.0,1.6534,0.0,1.7222,1.6576,1.6429,1.6553,1.6613,1.6489,1.6411,1.6434,1.6418
