Program,University,COLOMBO,GAMPAHA,KALUTARA,MATALE,KANDY,NUWARA ELIYA,GALLE,MATARA,HAMBANTOTA,JAFFNA,KILINOCHCHI,MANNAR,MULLAITIVU,VAVUNIYA,TRINCOMALEE,BATTICALOA,AMPARA,PUTTALAM,KURUNEGALA,ANURADHAPURA,POLONNARUWA,BADULLA,MONARAGALA,KEGALLE,RATNAPURA
MEDICINE,University of Colombo,2.4516,2.4412,2.4446,2.4981,2.5501,NQC,2.4478,2.4552,2.4711,2.4504,NQC,NQC,NQC,2.5134,2.4637,2.4902,2.4374,2.4946,2.445,2.5446,2.4695,2.5455,NQC,2.4552,2.4542
MEDICINE,University of Peradeniya,2.2279,2.2147,2.2204,2.215,2.2216,2.2598,2.2429,2.2225,2.2646,2.212,2.3267,NQC,2.2786,2.2496,2.248,2.2518,2.2384,2.2805,2.2114,2.2347,2.2591,2.2159,2.241,2.215,2.2112
MEDICINE,University of Sri Jayewardenepura,2.1465,2.1566,2.1474,2.1943,2.1512,NQC,2.1503,2.1557,2.1643,2.1968,2.1972,NQC,NQC,2.1503,2.1783,2.1621,2.169,2.1698,2.1529,2.185,2.1774,2.1671,NQC,2.1465,2.1586
MEDICINE,University of Kelaniya,2.0526,2.0517,2.0514,2.0612,2.0545,2.0969,2.0791,2.0508,2.0508,NQC,NQC,2.1087,NQC,NQC,2.0533,2.0571,2.0536,2.0552,2.0517,2.0651,2.1071,2.0619,2.1015,2.06,2.0526
MEDICINE,University of Jaffna,1.879,1.7278,1.784,1.7073,1.8169,1.7308,NQC,NQC,1.7765,1.8724,1.7943,1.7335,1.8819,1.8433,1.7138,1.8226,1.8321,1.7175,1.8028,1.7109,1.7355,1.7099,1.7277,1.8226,1.752
MEDICINE,University of Ruhuna,1.9559,1.955,1.9559,1.9778,1.9598,1.9775,1.9552,1.955,1.9606,NQC,NQC,NQC,NQC,1.9671,2.0044,1.9614,1.9566,1.9578,1.9594,1.9552,NQC,1.9626,1.9757,1.9616,1.9571
MEDICINE,University of Moratuwa,1.8732,1.8707,1.8732,NQC,1.8827,1.9286,1.8728,1.913,1.9222,2.0797,NQC,NQC,NQC,1.8938,1.8843,NQC,1.8997,1.9381,1.8901,NQC,1.9909,NQC,NQC,1.9286,1.8706
MEDICINE,"Eastern University, Sri Lanka",NQC,1.6406,1.7783,1.6524,NQC,1.4296,NQC,NQC,1.8366,NQC,NQC,1.6845,NQC,1.9934,1.737,1.8413,1.8169,1.6762,NQC,1.5146,1.4283,NQC,1.6018,1.8207,NQC
MEDICINE,Rajarata University of Sri Lanka,1.8772,1.8547,1.8995,1.8604,1.8509,1.9025,1.9071,1.9079,1.8525,NQC,NQC,NQC,NQC,1.998,1.862,1.8601,1.8566,1.8496,1.8596,1.8506,1.9345,1.8525,1.8706,1.851,1.8509
MEDICINE,Sabaragamuwa University of Sri Lanka,1.8894,1.6816,1.785,1.68,1.8032,1.6837,NQC,1.9005,1.7698,NQC,NQC,1.707,NQC,NQC,NQC,NQC,1.8048,1.6839,1.802,1.6791,NQC,1.6845,1.6825,1.7998,1.7541
MEDICINE,Wayamba University of Sri Lanka,1.9152,1.689,1.7711,1.6921,1.8229,1.7319,1.8661,NQC,NQC,NQC,NQC,1.8481,NQC,NQC,1.7552,NQC,1.8216,1.6873,1.8038,1.6969,1.6921,1.6892,1.6948,1.7702,1.7803
MEDICINE,Uva Wellassa University of Sri Lanka,NQC,1.6473,NQC,1.652,NQC,1.383,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.5985,1.3959,NQC,NQC,NQC,1.8407
DENTAL SURGERY,University of Peradeniya,1.8311,1.6275,1.7698,1.6329,1.786,1.3891,1.8319,1.8405,1.7587,1.8086,1.666,1.6619,1.7586,NQC,1.6686,1.7962,1.7816,1.6623,1.786,1.5063,1.3714,1.6678,1.5849,1.7513,1.7434
DENTAL SURGERY,University of Sri Jayewardenepura,1.8337,1.6219,1.7682,NQC,NQC,1.3789,1.834,1.8535,1.8254,NQC,NQC,NQC,NQC,1.8206,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.7317
VETERINARY SCIENCE,University of Peradeniya,1.7345,1.6011,1.7211,1.5648,1.7446,1.3253,1.7523,1.7211,1.7457,1.737,1.647,1.541,1.6464,1.7615,1.6649,1.7456,1.7268,1.6574,1.7427,1.4687,1.332,1.6002,1.5756,1.7214,1.7202
BIOCHEMISTRY & MOLECULAR BIOLOGY,University of Colombo,1.7704,1.598,1.7372,1.5588,1.7709,1.315,1.7812,1.7361,1.7306,1.7859,1.5353,1.5458,1.3834,1.7345,1.6639,1.753,1.7033,1.6201,1.7739,1.5009,1.317,1.6644,1.5776,1.7437,1.7147
AGRICULTURAL TECHNOLOGY & MANAGEMENT,University of Peradeniya,1.1759,1.204,1.2884,1.2325,1.3487,1.1548,1.309,1.3705,1.3042,1.3043,1.2744,1.2453,1.2566,0.6477,1.0878,1.1553,1.3384,1.1835,1.3325,1.2957,1.2649,1.3423,1.2858,1.267,1.2033
AGRICULTURE,University of Jaffna,0.4638,0.4618,0.6491,0.656,0.7642,0.4627,0.6394,0.6099,0.8231,0.6679,0.5958,0.4667,0.6176,0.5199,0.4674,0.5724,0.5844,0.4726,0.6497,0.4627,0.5278,0.5294,0.4781,0.6261,0.5341
AGRICULTURE,"Eastern University, Sri Lanka",0.4158,0.4227,0.7903,NQC,0.6029,0.3495,0.6045,0.5849,0.6204,0.6728,0.4655,0.3943,0.7097,0.4281,0.473,0.5697,0.6102,0.3803,0.627,0.4504,0.322,0.5394,0.4486,0.6326,0.5334
AGRICULTURE,Rajarata University of Sri Lanka,0.5911,0.5781,0.5987,0.6104,0.6183,0.6258,0.5857,0.5798,0.6221,0.7215,0.8534,NQC,NQC,NQC,NQC,NQC,0.5905,0.6016,0.6299,0.6045,0.6089,0.593,0.5756,0.5952,0.5829
AGRICULTURE,Sabaragamuwa University of Sri Lanka,0.6993,0.6872,0.6924,0.7378,0.7021,0.9751,0.7423,0.7077,0.7067,0.6964,NQC,0.7442,NQC,NQC,NQC,0.7723,0.7557,0.9017,0.6898,0.7015,NQC,0.738,0.7958,0.712,0.6883
AGRICULTURE,Wayamba University of Sri Lanka,0.5923,0.6036,0.5923,0.6231,0.6098,0.6297,0.5863,0.5887,0.6287,0.6797,NQC,0.8777,NQC,NQC,0.69,0.5791,0.5914,0.5783,0.6308,0.5884,0.5797,0.5809,0.6198,0.5924,0.5902
FOOD SCIENCE & NUTRITION,Wayamba University of Sri Lanka,1.0529,1.1113,1.2161,1.1317,1.0935,1.0887,1.1207,1.1777,1.1177,1.2116,0.7893,1.1268,0.9533,0.9612,1.1347,1.175,1.2193,1.1472,1.1517,1.0755,1.111,1.117,1.2099,1.1986,1.1127
FOOD SCIENCE & TECHNOLOGY,University of Peradeniya,1.5034,1.5113,1.5138,NQC,1.5677,NQC,1.544,1.6068,1.5091,1.5054,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.509,NQC,NQC,NQC,1.5401,1.5336,1.5053
FOOD SCIENCE & TECHNOLOGY,University of Sri Jayewardenepura,1.4434,1.4441,1.4433,NQC,1.4696,NQC,1.4435,1.4624,1.4433,1.482,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.4971,1.4671,NQC,NQC,NQC,1.4761,1.5023,1.4642
FOOD SCIENCE & TECHNOLOGY,Sabaragamuwa University of Sri Lanka,1.3571,1.2593,1.4426,1.1763,1.1115,1.05,1.4051,1.373,NQC,NQC,1.1019,1.2822,1.3428,1.0429,1.1645,1.2097,1.1779,1.035,1.3214,1.0521,0.9454,1.1412,1.3009,1.2941,1.2154
BIOLOGICAL SCIENCE,University of Colombo,1.5982,1.6014,1.5932,NQC,1.6031,NQC,1.5974,1.6141,1.6106,1.6491,NQC,NQC,NQC,NQC,NQC,NQC,1.6068,1.617,1.6216,NQC,NQC,1.6537,NQC,1.618,1.5955
BIOLOGICAL SCIENCE,University of Peradeniya,1.4293,1.4238,1.4375,1.5053,1.4175,NQC,1.4172,1.4226,1.4273,1.4511,NQC,NQC,NQC,NQC,1.4192,1.5038,NQC,1.4391,1.4165,1.4595,NQC,1.4312,1.4993,1.4343,1.419
BIOLOGICAL SCIENCE,University of Sri Jayewardenepura,1.3093,1.3236,1.3093,1.3551,1.3109,NQC,1.3195,1.3103,1.3119,1.3328,NQC,NQC,NQC,NQC,1.3766,1.3365,1.3223,1.3112,1.3109,1.3195,NQC,1.3184,1.3949,1.3208,1.3121
BIOLOGICAL SCIENCE,University of Kelaniya,1.2328,1.2275,1.2257,1.2876,1.2349,1.3065,1.2282,1.2297,1.2442,1.2634,NQC,NQC,NQC,1.2389,NQC,1.2483,1.2325,1.2578,1.2277,1.2341,NQC,1.2406,1.2896,1.2332,1.2282
BIOLOGICAL SCIENCE,University of Jaffna,1.0115,0.8881,1.1666,0.9068,0.9725,0.9122,NQC,NQC,0.9197,1.0082,0.9132,NQC,0.9179,1.1751,0.9871,1.0014,0.8995,0.9048,1.0926,0.8982,0.9443,0.9045,0.9548,1.1569,0.8876
BIOLOGICAL SCIENCE,University of Ruhuna,1.0732,1.0822,1.1478,1.0788,1.0802,1.0935,1.085,1.0802,1.0923,NQC,NQC,NQC,NQC,NQC,NQC,1.0716,1.08,1.0856,1.0851,1.1203,1.1076,1.0729,1.1236,1.0843,1.0738
BIOLOGICAL SCIENCE,"Eastern University, Sri Lanka",0.9949,0.7536,NQC,0.7426,0.979,0.749,1.1413,NQC,0.8596,NQC,0.8409,0.8468,0.839,0.8075,0.9962,0.7572,0.8038,0.7416,NQC,0.7564,0.7709,0.7613,0.782,NQC,0.7368
BIOLOGICAL SCIENCE,South Eastern University of Sri Lanka,0.9968,0.5734,NQC,0.7822,NQC,0.4179,NQC,NQC,0.7948,NQC,0.6308,0.2566,NQC,0.4457,0.5396,0.6869,0.8888,0.5876,NQC,0.5119,0.3551,0.6449,0.4781,NQC,0.6316
APPLIED SCIENCES (BIO.SC),Rajarata University of Sri Lanka,0.825,0.8043,0.8608,0.8306,0.8545,0.8315,0.824,0.808,0.8412,0.8127,NQC,NQC,NQC,NQC,NQC,0.9068,NQC,0.8286,0.8467,0.8329,0.8636,0.8008,0.8673,0.8766,0.8098
APPLIED SCIENCES (BIO.SC),Sabaragamuwa University of Sri Lanka,0.895,0.889,0.8937,1.1245,0.911,NQC,0.8943,0.9447,0.9282,0.9571,NQC,NQC,NQC,NQC,NQC,NQC,0.9495,NQC,0.8908,0.9604,NQC,0.8918,NQC,0.901,0.9405
APPLIED SCIENCES (BIO.SC),"University of Vavuniya, Sri Lanka",0.6625,0.5294,NQC,NQC,NQC,0.3792,NQC,0.7164,0.6722,0.7369,0.5981,0.248,0.6331,0.5052,0.4815,0.6373,0.6575,0.4939,NQC,0.4826,0.3594,0.6691,0.46,NQC,0.5332
ENGINEERING,University of Peradeniya,1.9034,1.9033,1.9109,1.9649,1.9075,1.977,1.9115,1.9095,1.9035,1.9054,NQC,NQC,NQC,1.9561,1.9674,1.9032,1.9111,1.9303,1.9069,1.9101,1.9099,1.9119,1.9073,1.9081,1.9074
ENGINEERING,University of Sri Jayewardenepura,1.7762,1.7618,1.7647,NQC,1.7482,NQC,1.7652,1.7507,1.7631,1.78,NQC,NQC,NQC,1.8165,1.8803,1.8462,NQC,1.781,1.7552,1.8694,1.8118,1.9777,NQC,1.7507,1.8441
ENGINEERING,University of Jaffna,NQC,1.4031,NQC,1.392,1.5391,1.3978,NQC,NQC,NQC,NQC,1.3255,1.388,1.3682,1.3911,1.3429,1.4842,1.3419,1.3371,NQC,1.3887,1.4474,1.5255,1.3542,NQC,1.4062
ENGINEERING,University of Ruhuna,1.6861,1.6079,1.6421,1.652,1.6097,1.6081,1.7063,1.784,1.6355,NQC,1.6368,1.6789,1.6311,1.6191,1.6188,1.6126,1.6166,1.6414,1.6211,1.6126,1.6687,1.608,1.6237,1.6435,1.6228
ENGINEERING,University of Moratuwa,2.1036,2.1067,2.1193,2.1393,2.1072,2.1524,2.101,2.1146,2.1096,2.1167,2.1576,2.2964,NQC,2.1726,2.2361,2.1146,2.2577,2.1492,2.1101,2.1096,2.2829,2.102,2.1015,2.1115,2.1048
