,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine - University of Colombo,0.014330498451343376,0.1633611377573987,0.2753827945335471,0.00014969687562194078,0.04366774377004745,0.8298713144521492,0.19724038284499945,0.047799890874393514,0.0002878926007707783,0.19427728491398266,0.09189197644319436,0.2032597882045133,0.13542681247698252,0.05790250037014888,0.6395312275775737,0.05101443045725251,0.18941068451912535,0.016187286151629454,0.24321893217002033,0.6409418513465845,0.06832056163131206,0.00027965907513927135,0.7732860505852686,0.5566358546705071,0.040819585963148275
Medicine - University of Peradeniya,0.4661221269304153,0.587863706095048,0.587280600463449,0.5353582223501503,0.6096151900047222,0.6348547770814488,0.38963956497432395,0.5611167710940322,0.6110014886984856,0.6837135305740145,0.6050258202929618,0.2032597882045133,0.27767822336403336,0.5525855239316131,0.21639475307055767,0.01987288409586796,0.594407096430795,0.6852347152074327,0.652077019819681,0.5611373204132022,0.4373170846329113,0.5865094679761702,0.5998698268011458,0.6843270927474702,0.7140964392137175
Medicine - University of Sri Jayewardenepura,0.6472855867090721,0.5983125303809047,0.7586705650874375,0.19473475997487655,0.6344999287144436,0.41745701872937613,0.6728102296037635,0.6478387051618848,0.5953931862652685,0.3705811069256386,0.6098354487621189,0.2032597882045133,0.9595651737747889,0.02878101535593247,0.7879581466501384,0.6439054624907848,0.5146438492490564,0.6702275854334198,0.6626032964953195,0.8203334167770701,0.03288672329980935,0.7241668499265824,0.08319842249192211,0.5674859010497872,0.7987346089473131
Medicine - University of Kelaniya,0.6709859951902684,0.6708086163766276,0.7371693622944484,0.5185883917053995,0.695691177390571,0.49636681517529846,0.5955317774507365,0.7131205305759809,0.7067190001428397,0.9524639305858551,0.6484184571510911,0.5893847676852411,0.9595651737747889,0.10287344784295804,0.01519145547634193,0.5301821077913738,0.8831726860991757,0.8660077701945221,0.6792596913691142,0.6597446134154119,0.6171095352800635,0.594962489850341,0.8180234891260252,0.7262371504178222,0.8086478117783249
Medicine - University of Jaffna,0.9411104184736927,0.8744840579094318,0.7124352849702065,0.5754567483883293,0.9277737201979528,0.5372938817738857,0.009169180420460665,0.9192615746660758,0.3599789598702078,0.36612232761584584,0.6798389703020181,0.527002398406736,0.3185606730503031,0.4457162397977843,0.5314795349473576,0.28979785404554315,0.12237270653907584,0.5253267142887512,0.46922213883573294,0.8550682491502932,0.8974215776101745,0.5591183809855049,0.7659150643643123,0.7665777668902248,0.8179053055312651
Medicine - University of Ruhuna,0.8006738448997447,0.8090442038343084,0.7938738309223711,0.5237203208103562,0.7869526659743447,0.7430060728057147,0.7965765126326997,0.8048929746120976,0.7950875273789246,0.9524639305858551,0.6484184571510911,0.7085958663943182,0.9595651737747889,0.6077475528230325,0.5994219277610884,0.7328138341825208,0.5418755490156321,0.9547420519600794,0.768757406577006,0.878006853161277,0.004149883976676816,0.7726092110939844,0.5354673952253983,0.7567237539592591,0.791000961612753
Medicine - University of Moratuwa,0.9474105462713934,0.5991338906128605,0.5469033166086732,0.6245149513529817,0.8001379829953664,0.0014820395410769516,0.8729704263935835,0.7613150062816016,0.584314557706952,0.08366658780224678,0.6484184571510911,0.2032597882045133,0.9595651737747889,0.07656020716204082,0.05572318656032238,0.5895927813707769,0.1333363548954173,0.7474641982607548,0.602176961785973,0.27316347949777453,0.24199324990316096,0.017554496689787147,0.6327199426023412,0.5845404414135981,0.3510526244865493
"Medicine - Eastern University, Sri Lanka",0.018276444517702273,0.27535127298467166,0.37946087502936243,0.5247079928029751,0.8683678449245862,0.12449269753003367,0.9602892432119756,0.9192615746660758,0.754214162466799,0.9524639305858551,0.9044559208639631,0.24234234073295724,0.3558263916034069,0.6075475589969133,0.7043532429367306,0.14045185320228393,0.4352331316221858,0.16256118183628088,0.9317754420666458,0.7586420856809846,0.11573615227457545,0.002586182833129169,0.4936708367081224,0.4528540535950736,0.7829999936516828
Medicine - Rajarata University of Sri Lanka,0.9095095720841279,0.7236027897266515,0.5359523547650243,0.70557801014418,0.7306847827990129,0.6771989947341593,0.6693485470806,0.72484151912025,0.9261808713262771,0.9524639305858551,0.6484184571510911,0.2032597882045133,0.9595651737747889,0.6075136035582429,0.7692050313529659,0.7631384431428493,0.816903135560872,0.7354904764514513,0.6842598187080404,0.5507888942691777,0.5973042550393761,0.7516497959694008,0.44787248944682034,0.7544804719859967,0.7746763977604849
Medicine - Sabaragamuwa University of Sri Lanka,0.4618329646257048,0.9304983601484093,0.4078919630628538,0.06776173446715672,0.0005847409006749515,0.09582497852009952,0.7663704416486544,0.4837268782255779,0.20330457874974595,0.9524639305858551,0.6484184571510911,0.5816776718502423,0.9595651737747889,0.5577258556109024,0.04922018723484611,0.13023691789672664,0.7848420163176195,0.6921974338616529,0.60945910937356,0.08623092853907754,0.6164980493019498,0.8847387707633907,0.8623249632002912,0.7407657270795918,0.7884938760900844
