,Colombo,Gampaha,Kalutara,Matale,Kandy,Nuwara Eliya,Galle,Matara,Hambantota,Jaffna,Kilinochchi,Mannar,Mullaitivu,Vavuniya,Trincomalee,Batticaloa,Ampara,Puttalam,Kurunegala,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Kegalle,Ratnapura
Medicine - University of Colombo,2.4029999999999996,2.4233499999999997,2.42905,1.8779617848198804,2.479975,2.255559567901235,2.4235,2.414325,2.420075,2.4288749999999997,1.3811598536268974,1.0792751642130975,1.3657488325242717,2.464175,2.1025842281879195,2.437175,2.417275,2.4434500000000003,2.4333,2.1588768361581923,2.167117700729927,2.497225,1.8860439141659806,2.1863987903225808,2.41095
Medicine - University of Peradeniya,2.237475,2.2374,2.2445250000000003,2.273975,2.252175,2.2853,2.243675,2.244925,2.025205316091954,2.2501499999999997,1.3661557830826734,1.0792751642130975,1.6025086526997105,1.9810872180451127,1.7265858848144258,2.0119064102564104,2.2809749999999998,2.33495,2.23815,2.2687250000000003,2.2883750000000003,1.990467297979798,1.9840157534246579,2.24755,2.2459
Medicine - University of Sri Jayewardenepura,2.1722,2.220225,2.189,1.7185498304646882,2.179425,1.143805020662506,2.1796,2.179525,1.967080316091954,2.1986499999999998,1.8977658898305085,1.0792751642130975,0.9765769026997104,1.9183682608695651,1.6694842281879194,2.2276,2.1839500000000003,2.212475,2.17775,1.717476267976374,1.9603677007299272,2.203925,1.4739096675906382,1.9626487903225807,2.190975
Medicine - University of Kelaniya,2.0928500000000003,2.094125,2.100525,1.8879449421965318,2.09435,1.3833954527612713,1.9156248633879782,2.096375,2.1067,1.2998028631997154,1.0624880646360715,1.3281293677529207,0.9765769026997104,1.374807078914678,1.8674,1.8802612275449102,2.10755,2.14135,2.094325,2.1164,1.877696551724138,1.8790422979797978,1.6685446596746576,2.098725,2.100925
Medicine - University of Jaffna,1.966075,1.8155000000000001,1.576716367464539,1.6203199421965317,1.8880499999999998,1.7769249999999999,1.5319713874605907,1.3579034953031623,1.737330316091954,1.886175,1.8630999999999998,1.5753462719298246,1.87935,1.8563,1.7667,1.845775,1.8217249999999998,1.770775,1.72557118226601,1.8084,1.8405,1.76675,1.5012696596746575,1.5828643488332188,1.8480500000000002
Medicine - University of Ruhuna,2.0154,2.01815,2.02285,1.8161699421965318,2.0226249999999997,1.5756625115848006,2.015975,2.0176,2.035225,1.2998028631997154,1.0624880646360715,1.8223957964601771,0.9765769026997104,1.333115944030957,2.043625,1.6280426378013204,1.7986756868131866,2.042875,2.024,2.0289,1.5858662183908045,2.028375,1.8162407534246576,2.03355,2.0161
Medicine - University of Moratuwa,1.9562249999999999,1.90585,1.7734557291666666,1.4634004211835168,1.9251749999999999,1.5289406334841629,1.92985,1.982925,1.788105316091954,1.8272985937500001,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.7243432608695652,1.7303250000000001,1.7450995508982037,1.92265,1.6064159049289217,1.7719461822660099,1.6023475746753246,1.5785820204741379,1.4417693189506606,1.4032228204159807,1.7887487903225807,1.93655
"Medicine - Eastern University, Sri Lanka",1.6222969668246447,1.3848576170584348,1.4468321366953083,1.3570317270164123,1.2823294546488613,1.45,1.3493939810434785,1.3579034953031623,1.6054654855834793,1.2998028631997154,1.454782281553398,1.6405094594594596,1.2130735701754385,1.339690944030957,1.5975092281879197,1.834125,1.759625,1.447668694938032,1.322772965787262,1.5528750000000002,1.4736715517241379,1.3756943189506605,1.4589907534246576,1.4584267847306547,1.2811615287726406
Medicine - Rajarata University of Sri Lanka,1.967125,1.912125,1.931825,1.928675,1.9131999999999998,1.9396499999999999,1.969925,1.6601934368978803,1.9313,1.2998028631997154,1.0624880646360715,1.0792751642130975,0.9765769026997104,1.340840944030957,1.5168842281879198,1.5611176378013205,1.924225,1.9136,1.9061,1.7198018361581924,1.7298965517241378,1.9056250000000001,1.7478657534246576,1.9064750000000001,1.911025
Medicine - Sabaragamuwa University of Sri Lanka,1.7897869668246447,1.776675,1.7162057291666666,1.5166117848198806,1.7362215174129352,1.431337760453579,1.792120142857143,1.8064229166666668,1.8512,1.2998028631997154,1.0624880646360715,1.2277043677529207,0.9765769026997104,1.139542544030957,1.3585191126625267,1.2587287384071264,1.773425,1.4857159049289217,1.6204570959715936,1.627549431818182,1.6126446666666667,1.755,1.796425,1.5791143488332189,1.8248
